Name
Gayatri Patel
Geeta Bali
Geeta Basra
Geeta Dutt
Geetanjali Thapa
Geetha
Geetu Mohandas
Genelia D'Souza
Girija
Girija Lokesh
Girija Shettar
Giselli Monteiro
Gopika
Gowri Pandit
Gowri Munjal
Gul Panag
Gunjan Malhotra
Hansika Motwani
Harini
Haripriya
Harshika Poonacha
Hasleen Kaur
Hazel Keech
Heera Rajagopal
Helen
Hema Bellur
Hema Prabhath
Hema Malini
Honey Rose
Hrishitaa Bhatt
Huma Qureshi
Humaima Malik
Hebah Patel
Hina Khan
Hiba Nawab
Ilene Hamann
Indrani Haldar
Iniya
Iravati Harshe
Isha Chawla
Isha Sharvani
Isha Koppikar
Isha Talwar
Ishita Dutta
Ishita Raj Sharma
Izabelle Leite
Ileana D'Cruz
Jacqueline Fernandez
Jannat Zubair Rahmani
Janhvi Kapoor
Jasmin Bhasin
Jayabharathi
Jayachitra
J. Jayalalithaa
Jaya Bachchan
Jaya Prada
Jaya Seal
Jayasudha
Jayamala
Jayamalini
Jayshree Gadkar
Jennifer Kotwal
Jennifer Winget
Jharana Bajracharya
Jhataleka Malhotra
Jiya Khan
Jugnu Ishiqui
Juhi Chawla
Juhi Babbar
Jyothika
Jonita Gandhi
