subcat1,name,height, gender
Singer,Peter Capaldi,181.61,M
Singer,Jason Carter,181.61,M
Singer,David Caruso,181.61,M
Singer,Joshua Close,181.61,M
Singer,Sharlto Copley,181.61,M
Singer,Henry Ian Cusick,181.61,M
Singer,Matt Dallas,181.61,M
Singer,Craig David,181.61,M
Actor,Leonardo DiCaprio,181.61,M
Actor,Jason Dohring,181.61,M
Actor,Denholm Elliott,181.61,M
Actor,Trevor Eve,181.61,M
Actor,Yan Feldman,181.61,M
Actor,Colm Feore,181.61,M
Actor,Joseph Fiennes,181.61,M
Actor,Joe Flanigan,181.61,M
Actor,David Frost,181.61,M
Actor,Michael Gambon,181.61,M
Actor,Jorge Garcia,181.61,M
Actor,Cam Gigandet,181.61,F
Actor,Philip Glenister,181.61,M
Actor,Scott Glenn,181.61,M
Actor,Mark Paul Gosselaar,181.61,M
Actor,Bear Grylls,181.61,M
Actor,Jake Gyllenhaal,181.61,M
Actor,GZA ,181.61,M
Actor,Lukas Haas,181.61,M
Actor,Dean Haglund,181.61,M
Actor,Steve Harris,181.61,M
Actor,Justin Hawkins,181.61,M
Actor,Isaac Hayes,181.61,M
Actor,Marcos Hernandez,181.61,M
Actor,Howard Hesseman,181.61,M
Actor,Al James,181.61,M
Actor,Famke Janssen,181.61,M
Actor,Gabe Kaplan,181.61,M
Actor,Paul Kaye,181.61,M
Actor,Jimmy Kimmell,181.61,M
Actor,Ted King,181.61,M
Actor,Jeroen Krabbe,181.61,M
Actor,Amanda Lamb,181.61,F
Actor,Peter Lawford,181.61,M
Actor,Lemar ,181.61,M
Actor,Matthew Lewis,181.61,M
Actor,Ray Liotta,181.61,M
Actor,Josh Lucas,181.61,M
Actor,Simon Maccorkindale,181.61,M
Actor,Lee Majors,181.61,F
Actor,Aimee Mann,181.61,F
Actor,Ricky Martin,181.61,M
Actor,Steve Martin,181.6,M
Actor,Ted McGinley,181.61,M
Actor,Ryan Merriman,181.61,M
Actor,Johnny Messner,181.61,M
Actor,Shawn Michaels,181.61,M
Actor,P.H. Moriarty,181.61,M
Actor,Chad Michael Murray,181.61,M
Actor,Samy Naceri,181.61,M
Actor,Ricky Nelson,181.61,M
Actor,Ryan O'Neal,181.61,M
Actor,Robert Patrick,181.61,M
Actor,Bill Paxton,181.61,M
Actor,Vincent Perez,181.61,M
Actor,Sean Pertwee,181.61,M
Actor,Lou Diamond Phillips,181.61,F
Actor,Missi Pyle,181.61,F
Actor,Aidan Quinn,181.61,M
Actor,Josh Radnor,181.61,M
Actor,David Lee Roth,181.61,M
Actor,Alan Ruck,181.61,M
Actor,Geoffrey Rush,181.61,M
Actor,Tim Russ,181.61,M
Actor,Devon Sawa,181.61,F
Actor,Ignacio Serrichio,181.61,M
Actor,Charles Shaughnessy,181.61,M
Actor,Craig Sheffer,181.61,M
Actor,Matt Smith,181.61,M
Actor,Jerry Springer,181.61,F
Actor,David Strathairn,181.61,M
Actor,George Stults,181.61,M
Actor,Eddie Kaye Thomas,181.61,F
Actor,Justin Timberlake,181.61,M
Actor,Zachery Ty Bryan,181.61,M
Actor,Rob Van Dam,181.61,M
Actor,Michael Vartan,181.61,M
Actor,Jack Wagner,181.61,M
Actor,Bruce Willis,181.61,M
Actor,Luke Wilson,181.61,M
Actor,Michael Winslow,181.61,M
Actor,Aaron Ashmore,175,M
Actor,Scott Bakula,182.24,M
Actor,Ben Barnes,182.24,M
Actor,John Barrowman,182.24,M
Actor,Michael Biehn,182.24,M
Actor,Kathryn Bigelow,182.24,F
Actor,Gil Birmingham,182.24,M
Actor,Dane Cook,182.24,M
Actor,Alfonso Cuaron,182.24,M
Actor,Liam Cunningham,182.24,M
Actor,Ray Davies,182.24,M
Actor,Vin Diesel,182.24,M
Actor,Danny Dyer,182.24,M
Actor,Jimmy Fallon,182.24,M
Actor,Terry Farrell,182.24,F
Actor,Christopher Gorham,182.24,M
Actor,Morten Harket,182.24,M
Actor,Bruce Hopkins,182.24,M
Actor,Brandon Lee,182.24,M
Actor,David Marciano,182.24,M
Actor,Kevin McKidd,182.24,M
Actor,Mads Mikkelsen,182.24,M
Actor,Sam Neill,182.24,F
Actor,Josh Peck,182.24,M
Actor,Elvis Presley,182.24,M
Actor,Alexander Siddig,182.24,M
Actor,Kerr Smith,182.24,M
Actor,Sting ,182.24,M
Actor,Lance Storm,182.24,M
Actor,Damon Albarn,180.33,M
Actor,John Altman,180.33,M
Actor,Criss Angel,180.33,M
Actor,Susan Anton,180.33,F
Actor,Nathaniel Arcand,180.33,M
Actor,Alexander Armstrong,180.33,M
Actor,Richard Ashcroft,180.33,M
Actor,Shawn Ashmore,180.33,M
Actor,John Astin,180.33,M
Actor,Michael Ball,180.33,M
Actor,Chris Barrie,180.33,F
Actor,Jason Bateman,180.33,M
Actor,Jim Beaver,180.33,M
Actor,Jason Behr,180.33,M
Actor,Geoff Bell,180.33,M
Actor,James Belushi,180.33,M
Actor,Dirk Benedict,180.33,M
Actor,Tom Berenger,180.33,M
Actor,Corbin Bernsen,180.33,M
